Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,05-02-2010,1643691,0,42,3,211,8
1,12-02-2010,1641957,1,39,3,211,8
1,19-02-2010,1611968,0,40,3,211,8
1,26-02-2010,1409728,0,47,3,211,8
1,05-03-2010,1554807,0,46,3,211,8
1,12-03-2010,1439542,0,58,3,211,8
1,19-03-2010,1472516,0,55,3,211,8
1,26-03-2010,1404430,0,51,3,211,8
1,02-04-2010,1594968,0,62,3,211,8
1,09-04-2010,1545419,0,66,3,211,8
1,16-04-2010,1466058,0,66,3,210,8
1,23-04-2010,1391256,0,65,3,210,8
1,30-04-2010,1425101,0,67,3,210,8
1,07-05-2010,1603955,0,73,3,210,8
1,14-05-2010,1494252,0,75,3,210,8
1,21-05-2010,1399662,0,76,3,211,8
1,28-05-2010,1432070,0,80,3,211,8
1,04-06-2010,1615525,0,81,3,211,8
1,11-06-2010,1542561,0,80,3,211,8
1,18-06-2010,1503284,0,84,3,211,8
1,25-06-2010,1422712,0,84,3,211,8
1,02-07-2010,1492418,0,81,3,211,8
1,09-07-2010,1546074,0,80,3,211,8
1,16-07-2010,1448939,0,83,3,211,8
1,23-07-2010,1385065,0,83,3,211,8
1,30-07-2010,1371987,0,82,3,211,8
1,06-08-2010,1605492,0,87,3,212,8
1,13-08-2010,1508238,0,87,3,212,8
1,20-08-2010,1513080,0,87,3,212,8
1,27-08-2010,1449143,0,85,3,212,8
1,03-09-2010,1540164,0,81,3,212,8
1,10-09-2010,1507461,1,79,3,211,8
1,17-09-2010,1430379,0,82,3,212,8
1,24-09-2010,1351791,0,81,3,212,8
1,01-10-2010,1453330,0,72,3,212,8
1,08-10-2010,1508240,0,64,3,212,8
1,15-10-2010,1459409,0,67,3,212,8
1,22-10-2010,1345454,0,70,3,212,8
1,29-10-2010,1384209,0,70,3,212,8
1,05-11-2010,1551659,0,59,3,212,8
1,12-11-2010,1494479,0,60,3,212,8
1,19-11-2010,1483784,0,51,3,212,8
1,26-11-2010,1955624,1,65,3,212,8
1,03-12-2010,1548034,0,49,3,212,8
1,10-12-2010,1682614,0,46,3,211,8
1,17-12-2010,1891035,0,50,3,211,8
1,24-12-2010,2387950,0,52,3,211,8
1,31-12-2010,1367320,1,48,3,211,8
1,07-01-2011,1444732,0,48,3,211,8
1,14-01-2011,1391014,0,35,3,211,8
1,21-01-2011,1327405,0,44,3,212,8
1,28-01-2011,1316899,0,44,3,212,8
1,04-02-2011,1606630,0,42,3,213,8
1,11-02-2011,1649615,1,36,3,213,8
1,18-02-2011,1686843,0,57,3,213,8
1,25-02-2011,1456800,0,63,3,214,8
1,04-03-2011,1636263,0,60,3,214,8
1,11-03-2011,1553192,0,54,3,214,8
1,18-03-2011,1576818,0,63,3,214,8
1,25-03-2011,1541102,0,70,3,215,8
1,01-04-2011,1495065,0,59,4,215,8
1,08-04-2011,1614259,0,68,4,215,8
1,15-04-2011,1559889,0,71,4,215,8
1,22-04-2011,1564820,0,73,4,215,8
1,29-04-2011,1455091,0,72,4,216,8
1,06-05-2011,1629391,0,65,4,216,8
1,13-05-2011,1604776,0,76,4,216,8
1,20-05-2011,1428218,0,68,4,216,8
1,27-05-2011,1466047,0,78,4,216,8
